ARKK
EEM
EFA
EWZ
FXI
GDX
GLD
HYG
IWM
KWEB
KRE
$NDX.X
QQQ
$RUT.X
SLV
$SPX.X
SPY
TLT
UNG
USO
UVXY
$VIX.X
VXX
XLE
XLF
XOP

