AAPL
ABBV
#ADBE
ALGN
AMD
AMZN
CMG
#CNC
FB
GOOG
GOOGL
GS
ISRG
#KHC
LMT
LRCX
LULU
MA
MRNA
MS
NFLX
NVDA
SHOP
#SIG
TSLA
UNH
UVXY


